CustomerNumber,Email,SMSTelephone,FirstName,LastName,Salutation,JobPosition,JobLevel,Language,CompanyNumber,Company,CompanyRevenue,CompanyRevenueCluster,AgentName,AgentEmail,Country,State,Area,City,Division,Currency,NPSFormat,NPSType,NumberOrder,OrderValue,DateOrder,segment_a,segment_b,segment_c,segment_d,segment_e,FlightName,Net Promoter Score,Comment,SurveyCompletedDate,EmailSentDate,FollowUpRequired
76,customer076@nps-test.net,1366507205,John076,Smith076,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4606,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
77,customer077@nps-test.net,1366507205,John077,Smith077,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4607,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,N
78,customer078@nps-test.net,1366507205,John078,Smith078,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4608,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
79,customer079@nps-test.net,1366507205,John079,Smith079,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4609,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
80,customer080@nps-test.net,1366507205,John080,Smith080,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4610,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
81,customer081@nps-test.net,1366507205,John081,Smith081,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4611,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
82,customer082@nps-test.net,1366507205,John082,Smith082,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4612,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
83,customer083@nps-test.net,1366507205,John083,Smith083,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4613,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
84,customer084@nps-test.net,1366507205,John084,Smith084,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4614,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
85,customer085@nps-test.net,1366507205,John085,Smith085,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4615,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
86,customer086@nps-test.net,1366507205,John086,Smith086,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4616,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
87,customer087@nps-test.net,1366507205,John087,Smith087,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4617,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
88,customer088@nps-test.net,1366507205,John088,Smith088,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4618,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
89,customer089@nps-test.net,1366507205,John089,Smith089,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4619,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
90,customer090@nps-test.net,1366507205,John090,Smith090,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4620,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,N
91,customer091@nps-test.net,1366507205,John091,Smith091,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4621,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
92,customer092@nps-test.net,1366507205,John092,Smith092,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4622,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
93,customer093@nps-test.net,1366507205,John093,Smith093,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4623,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
94,customer094@nps-test.net,1366507205,John094,Smith094,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4624,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
95,customer095@nps-test.net,1366507205,John095,Smith095,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4625,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
96,customer096@nps-test.net,1366507205,John096,Smith096,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4626,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
97,customer097@nps-test.net,1366507205,John097,Smith097,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4627,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
98,customer098@nps-test.net,1366507205,John098,Smith098,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4628,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
99,customer099@nps-test.net,1366507205,John099,Smith099,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4629,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
100,customer100@nps-test.net,1366507205,John100,Smith100,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4630,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,N
